中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
主要死亡原因在欧美国家是心血管疾病国内报道是心脑血管疾病其次为恶性肿瘤肺部感染肾衰竭	O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;E-Disease
60~70岁以恶性肿瘤排位最前80~90岁心血管病肺部感染升至最高	O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O
高血压和血脂紊乱是老年人心脑血管死亡最主要的危害因素糖尿病合并高血压和血脂紊乱将增加心脑血管死亡风险3倍	B-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O
老年糖尿病患者可分为老年前患糖尿病和老年后新发糖尿病两种情况	O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O
两者在自身状况糖尿病临床特点罹患其他疾病和已存在的脏器功能损伤等方面均有所不同	O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
在环境因素相似的情况下患病越晚提示胰岛β细胞代偿能力越好	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
与进入老年前已患病者比较老年后患糖尿病者更多表现为明显胰岛素抵抗和胰岛素代偿性高分泌	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis
老年人群中40%~70%患有高血压病30%~50%患有血脂紊乱均高于糖尿病的患病率腹型肥胖比单纯BMI增高在老年患者中更常见	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
同时合并糖代谢紊乱高血压向心性肥胖高甘油三酯血症(代谢综合征)的老年人高达30%~40%而无上述各项者不到10%	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
老年综合征是老年人群中常见的与年龄相关的疾病组合包括智能和体能的缺陷自伤和他伤防护能力的下降跌倒和骨折风险的增加认知障碍和抑郁尿失禁疼痛用药过多等	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;B-Symptom;E-Symptom;B-Symptom;I-Symptom;E-Symptom;B-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O
这些对老年糖尿病患者的自我管理也会带来负面影响	O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
这种状况在医疗条件相对差的农村更明显涉及到我国约65%的老年人群	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
老年人群中糖尿病前期的患病人数远远高于中青年人群在控制糖尿病快速发展的策略中是应该被关注的群体	O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
随着国民寿命的延长老年期会涉及每个人的20~30个生命年	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
按现有资料估计糖代谢异常约影响我国1亿老年人的晚年生活高龄老人也是多种慢性病的高风险人群如缺少科学的防病治病行为糖尿病所致危害不仅减少生存年还会因失明致残智能障碍等使相当一部分老年患者的生活质量大大下降	O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Symptom;E-Symptom;B-Symptom;E-Symptom;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
我国糖尿病患者血糖总体控制水平不理想在中老年(年龄>45岁)人群的2项全国多省市糖尿病患者调查中以HbA1c<6.5%为标准达标率分别为20.3%(2009年)和16.8%(2010年)(C)	O;O;B-Disease;I-Disease;E-Disease;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
医疗保健条件好的干部人群HbA1c控制达标率(63.5%)高于北京社区老年患者(46.5%)	O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
可见良好的医疗保健条件对老年患者血糖控制有积极地促进作用(D)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O
在老年糖尿病的治疗中加强糖尿病教育和管理是重要的理念工程	O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O
丹麦干预多重危险因素对2型糖尿病微血管病心血管病病死率的效果(Steno-2研究)和日本2型糖尿病长期理想血糖控制对糖尿病大血管病变的影响(Kumamoto研究)显示对糖尿病综合治疗可获得良好结局(B)	O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Test_items;E-Test_items;O;O;O;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
由此而言早防早治良好血糖控制综合控制多项代谢异常是糖尿病患者的理想治疗原则	O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O
但在现实中大多数患者未能遵循这个原则原因之一是缺乏糖尿病筛查意识或条件半数左右糖尿病患者不能早发现异常早被诊断早开始治疗	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
另1/5已有严重并发症或合并脏器功能异常或是患有其他病变恶性疾病不宜严格控制血糖者	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O
剩余的患者还会受到不同原因未能达到良好治疗目标	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
我国老年人有防病治病的一些优势条件绝大多数已无工作压力在掌握防病知识后治疗的依从性高于中青年患者	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
近年来城市乡村新农合基本医疗保险覆盖率达到95%以上绝大多数的老年糖尿病患者基本用药可以得到保证	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O
二老年糖尿病治疗策略的优化	O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
(一)综合评估的策略	O;O;O;O;O;O;O;O;O;O
需要提高对患者的了解度	O;O;O;O;O;O;O;O;O;O;O
可从5个方面进行分析	O;O;O;O;O;O;O;O;O;O
1.了解患者的血糖控制水平	O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O
包括总体水平(HbA1c是最好的证据)实际血糖波动情况(幅度大小和影响因素)血糖变化的特点(空腹抑或餐后血糖升高为主短期还是长期高血糖)	O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O
影响血糖控制的因素包括饮食和运动情况现有降糖药应用(剂量方法)低血糖发生的风险等	O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O
要求和督促患者自测血糖首先推荐监测早晚餐前血糖(最基本观测点)根据需要测定三餐前和三餐后2h加晚睡前血糖(全天血糖观测)获知患者血糖变化的类型为调整降糖治疗打好基础(IV)	O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
3.评估患者是否合并高血压血脂异常高尿酸和肥胖	O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;E-Disease;O;B-Disease;E-Disease
同时测定血液中肝酶和肾功能指标有条件测定血蛋白质电解质同型半胱氨酸水平有助于评定患者的心血管疾病风险和确定饮食食谱为患者制定综合治疗方案(IV)	O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;B-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
了解是否存在糖尿病的血管并发症评估心脑血管病变风险	O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O
根据既往病史体征相关检查了解主要脏器功能是否存在异常或潜在的功能不全	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
从糖尿病知识获取程度和自我健康需求判断患者的自我约束力	O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
从患者实际医疗需求和医疗经费是否充足了解患者治病的财力(个人家庭和社会支持的总和)(IV)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
糖尿病专科医师或专科护士应该充分了解上述5个方面的内容对患者进行完善的评估也可根据实际条件进行项目选择	B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
第12条是合理选用降糖药的基础规避滥用药	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
第34条是综合治疗全面控制心血管风险保护脏器功能的基础第5条有助于评估患者的自我管理能力综合考虑为患者制定量身打造的治疗方案	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
1.早预防	O;O;O;O;O
观念的转变很重要	O;O;O;O;O;O;O;O
慢性病的预防则需遵从治未病理念积极进行糖尿病防治知识的学习和宣教提倡健康生活方式增加运动	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;B-Treatment;I-Treatment;I-Treatment;E-Treatment
2型糖尿病的发生有较长的前期过程包括高胰岛素-正常血糖的代偿期血糖轻度异常的糖尿病前期以空腹血糖(FPG)升高为主的空腹血糖受损和以糖负荷后2h血糖(2hPG)升高为主的糖耐量减低也可两者并存直到糖尿病的早期阶段(血糖轻中度升高)	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value
在不能改变遗传现状的情况下鼓励高危患者定期体检和进行糖尿病筛查以便早发现潜在的糖尿病威胁早开始保护自身β细胞功能	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
在确定糖尿病诊断时标准可适当放宽	O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O
切勿放松处于糖代谢水平异常人群的前期管理	O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;I-Symptom;E-Symptom;O;O;O;O;O;O;O
3.早治疗	O;O;O;O;O
检查发现FPG>5.6mmol/L2hPG或随机血糖>7.8mmol/L或HbA1c>6.0%是开始通过TLC防治糖尿病的警示点(IV)	O;O;O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;B-Treatment;I-Treatment;E-Treatment;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
如经过3个月TLCHbA1c仍>6.5%需考虑开始非胰岛素促泌剂类口服降糖药物干预(IV)	O;O;O;O;O;O;B-Treatment;I-Treatment;E-Treatment;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
我国的大庆研究芬兰糖尿病预防研究(DPS)和美国的糖尿病预防研究(DPP)显示单纯TLC可以使糖尿病的发病率减少50%~58%阿卡波糖和二甲双胍药物干预研究分别降低糖尿病发病率88%和77%疗效优于单纯TLC(A)	O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;E-Treatment;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;E-Treatment;O;O;O
老年糖尿病患者在饮食和运动治疗的基础上HbA1c>7.0%需要考虑单药或联合口服降糖药物治疗根据患者胰岛素水平肥胖程度及血糖波动的特点将HbA1c控制到7.0%以内(B)	O;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O
联合2种以上口服降糖药治疗后HbA1c仍>7.0%可以起始胰岛素治疗(A)一般首选基础胰岛素治疗(IV)	O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O
4.早达标	O;O;O;O;O
已有研究显示对存在多项心血管危险因素的老年糖尿病患者单纯控制血糖可能得不到心血管获益而综合防治心血管多危险因素则可能获益(B)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(三)个性化控制目标的制定	O;O;O;O;O;O;O;O;O;O;O;O;O
制定个性化控制目标的目的是在治疗中使患者的生存获得最大利益和最小风险落实过程中需兼顾来自医生角度的判断与患者自身承受能力的协调	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
在选择HbA1c控制标准的诸多研究中仅UKPDS和DCCT有长于10年的研究数据选择HbA1c<7.0%为强化控制目标有远期获益的结果(A)	O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
冠心病和糖尿病等危症的研究经10年观察才得到糖尿病心血管危害的确切数据提示一般情况下慢性高血糖引起的损害有一定时间效应(A)	B-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
借鉴最新美国糖尿病学会(ADA)/欧洲糖尿病研究协会(EASD)立场声明中推荐在制定个性化HbA1c控制标准时需对患者的预期寿命降糖药治疗风险(β细胞功能低血糖发生体重增加)治疗获益程度(已有合并症脏器功能异常程度)患者承受治疗能力(自我管理水平医疗条件)等进行综合评估(A)	O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
根据现有研究结果权衡利弊预期寿命长于10年低血糖风险小预计治疗获益大有较好医疗支持的老年糖尿病患者HbA1c控制标准以<7.0%为佳相应FPG<7.0mmol/L和2hPG<10.0mmol/L且减少血糖波动并长期保持上述血糖水平(C)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;B-Test_items;E-Test_items;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O
对新诊断相对年轻预期生存期>10年无并发症及伴发疾病降糖治疗无低血糖风险不需要降糖药物或仅用单种非胰岛素促分泌剂降糖药治疗依从性好的患者可考虑将HbA1c控制到接近正常人水平(IV)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O
老年患者实际情况差异很大应在全面评估的基础上遵循个体化的原则选择不同的控制标准可参考如下分层	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(1)HbA1c<7.5%	O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value
